Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Undergrad Population,Average Cost,Average Faculty Salary,Median Debt,Average Age of Entry,Average Family Income,Median Family Income,Number of Unemployed,Mean Earnings,Median Earnings
Abilene Christian University,3,4,Private,Southwest,Mid-size City,0.4894,24,1087,3647,39811,5508,20698.5,20.22999954,86392,75873.5,130,39800,37200
Adams State University,3,4,Public,Rocky Mountains,Remote Town,0.526,20,939,2227,17759,5986,11000,24.12999916,45711.23,34243,99,33600,30700
Adelphi University,3,4,Private,Mid-Atlantic,Large Suburb,0.6814,22,1098,5000,41559,11315,21325,23.12999916,74831.68,54115,152,52200,49400
Adrian College,3,3,Private,Great Lakes,Distant Town,0.5628,22,1007,1616,40199,7453,14250,19.62999916,77959.35,71008.5,34,35000,33800
Adventist University of Health Sciences,3,4,Private,Southeast,Mid-size City,0.1336,19,884,2064,21358,6539,15236,28.70999908,58585.71,49657.5,49,52400,51800
AIB College of Business,3,3,Private,Great Plains,Mid-size City,0.6887,0,0,1007,22469,4706,13125,22.76000023,56250.95,53783,47,34900,34200
Alabama A & M University,3,4,Public,Southeast,Mid-size City,0.8989,17,823,4051,18888,7079,19500,20.62999916,40211.22,29039,221,30300,27000
Alabama State University,3,4,Public,Southeast,Mid-size City,0.5125,17,830,5354,17400,6557,15854.5,20.88999939,31846.99,24029.5,274,26400,22400
Albany College of Pharmacy and Health Sciences,3,4,Private,Mid-Atlantic,Small City,0.634,27,1195,1075,40718,8530,24930.5,21.05999947,87171.28,80225,9,110300,125600
Albany State University,3,4,Public,Southeast,Small City,0.1992,19,887,3566,19025,5607,24500,22.45999908,40236.45,29794,106,30700,27900
Albertus Magnus College,3,4,Private,New England,Mid-size City,0.6821,0,830,1278,41520,7601,26313,29.63999939,61019.77,50062.5,67,52700,48900
Albion College,3,3,Private,Great Lakes,Fringe Town,0.5639,25,1143,1284,45690,6969,22500,19.20999908,95788.54,85027.5,28,46500,40800
Albright College,3,4,Private,Mid-Atlantic,Small City,0.6231,23,1033,2333,46170,6340,24562.5,23.62999916,75540.42,66577.5,55,44900,41700
Alcorn State University,3,4,Public,Southeast,Remote Rural,0.8291,18,851,3157,20330,6431,19696.5,22.82999992,30021.21,21250,110,29600,26200
Alderson Broaddus University,3,4,Private,Southeast,Distant Town,0.4321,22,989,1032,33057,4924,9500,21.69000053,55945.87,48013,36,45100,43500
Alfred University,3,4,Private,Mid-Atlantic,Remote Town,0.698,25,1106,1905,38830,6408,21500,19.87999916,78026.36,69334,66,39800,35400
Allegheny College,3,3,Private,Mid-Atlantic,Distant Town,0.6487,26,1182,2126,50044,8108,27000,19.40999985,95883.88,85933,46,46000,42200
Alma College,3,3,Private,Great Lakes,Distant Town,0.6791,25,1100,1385,43157,7256,21500,19.51000023,86192.91,74312,23,40800,38000
Alvernia University,3,4,Private,Mid-Atlantic,Small City,0.7762,20,976,2169,39999,6152,22500,25.30999947,64848.34,53135,94,41200,40400
Alverno College,3,4,Private,Great Lakes,Large City,0.7887,20,950,1833,30496,5550,25500,24.29000092,52454.06,38705,77,36700,34500
American International College,3,4,Private,New England,Mid-size City,0.6779,19,885,1513,40803,5700,20726,22.63999939,60826.01,49259,58,40000,36100
American University,3,4,Private,Mid-Atlantic,Large City,0.4312,28,1258,6829,55159,11074,19500,20.04999924,105560.77,86431,153,55900,51600
Amherst College,3,3,Private,New England,Large Suburb,0.1428,32,1434,1785,59060,11690,10453,19.32999992,107166.93,85922,23,71100,54000
Anderson University,3,4,Private,Great Lakes,Small City,0.5545,23,1053,1862,37937,6395,23000,21.51000023,78026.29,72723,95,36800,33400
Anderson University,3,4,Private,Southeast,Small City,0.6502,24,1079,2381,35340,6409,19500,22.20000076,68927.17,58707.5,57,35200,32600
Andrews University,3,4,Private,Great Lakes,Fringe Town,0.3751,23,1070,1765,33653,4961,23000,21.67000008,60803.03,53737,76,38900,33400
Angelo State University,3,4,Public,Southwest,Small City,0.8049,21,965,5430,19511,6867,11773,21.37999916,53847.09,43559,156,37800,34500
Anna Maria College,3,4,Private,New England,Fringe Rural,0.7756,0,0,1135,42770,3553,18125,21.17000008,73629.92,67437,23,39400,36000
Appalachian State University,3,4,Public,Southeast,Distant Town,0.6323,26,1156,15840,17780,7657,15635,20.68000031,78640.38,69100,262,36100,33600
Aquinas College,3,4,Private,Great Lakes,Mid-size City,0.7135,24,1090,1843,34593,5972,19474,21.71999931,76310.3,72085,54,35200,31200
Arcadia University,3,4,Private,Mid-Atlantic,Large Suburb,0.5969,25,1095,2400,48907,7962,22000,20.35000038,83924.41,76319,81,41100,38100
Arizona State University-Downtown Phoenix,3,4,Public,Southwest,Large City,0.757,24,1085,8555,22909,8746,16250,0,0,0,0,0,0
Arizona State University-Polytechnic,3,4,Public,Southwest,Large City,0.7479,24,1106,3305,21256,8042,16250,22.55999947,63334.02,43477,0,0,0
Arizona State University-Tempe,3,4,Public,Southwest,Mid-size City,0.8023,25,1145,38480,21960,10405,16250,22.55999947,63334.02,43477,1444,46000,41200
Arizona State University-West,3,4,Public,Southwest,Large City,0.759,23,1073,3243,20269,8293,16250,22.55999947,63334.02,43477,0,0,0
Arkansas State University-Main Campus,3,4,Public,Southeast,Small City,0.7551,24,1088,9325,18809,6957,13300,23.97999954,38618.99,27550,704,32300,29100
Arkansas Tech University,3,4,Public,Southeast,Remote Town,0.8503,22,1008,8734,16126,6096,10043,23.04999924,42912.59,31932,368,33700,30600
Armstrong Atlantic State University,3,4,Public,Southeast,Mid-size City,0.6998,21,997,6206,19802,5620,12750,24.45000076,48128.12,34921,252,39200,36300
Art Center College of Design,3,4,Private,Far West,Mid-size City,0.8167,0,0,1742,56400,6826,31000,23.54000092,55123.2,28815,117,52800,48400
Asbury University,3,4,Private,Southeast,Fringe Town,0.6573,24,1110,1392,33966,5924,20325,21.25,75367.79,68034.5,48,33000,30200
Ashland University,3,4,Private,Great Lakes,Fringe Town,0.7438,23,1043,3118,40835,6922,21500,23.05999947,71763.3,63187.5,129,37100,36300
Assumption College,3,4,Private,New England,Mid-size City,0.7422,0,0,2181,46763,7852,24931,19.63999939,113725.25,103026,35,50300,47900
Auburn University,3,4,Public,Southeast,Small City,0.8274,27,1215,19761,23788,9429,18250,20.32999992,88745.91,71775.5,345,47100,41800
Auburn University at Montgomery,3,4,Public,Southeast,Mid-size City,0.8371,21,970,4322,16556,7173,10750,23.43000031,40107.7,27378,179,35300,32400
Augsburg College,3,4,Private,Great Plains,Large City,0.6086,23,1053,2661,42531,6868,23000,24.37999916,74730.25,60818,67,45400,41300
Augustana College,3,4,Private,Great Plains,Mid-size City,0.6809,24,1105,1615,36828,6488,25249,20.07999992,87730.97,76993.5,32,41800,38200
Augustana College,3,3,Private,Great Lakes,Small City,0.5867,0,0,2504,45364,7186,25000,19.67000008,99764.5,88060,23,46900,42800
Aurora University,3,4,Private,Great Lakes,Large Suburb,0.7595,22,1011,3236,31145,7064,15000,22.20000076,69996.76,61464,71,38100,36600
Austin College,3,4,Private,Southwest,Small City,0.5861,25,1181,1206,45800,7605,23000,19.64999962,96751.26,83025,33,45500,41000
Austin Peay State University,3,4,Public,Southeast,Mid-size City,0.8595,22,1009,9271,18852,6879,15000,24.46999931,41615.23,30942,375,34000,31700
Avila University,3,4,Private,Great Plains,Large City,0.6108,22,1028,1336,34898,6747,18750,23.76000023,67407.58,53028,55,42300,39500
Azusa Pacific University,3,4,Private,Far West,Large Suburb,0.7985,24,1098,6543,44021,9231,19000,24.51000023,87044.35,72335.5,213,49200,45800
Babson College,3,4,Private,New England,Large Suburb,0.2821,28,1258,2106,58450,14952,27000,20.28000069,104940.77,80987,50,83200,74700
Baker University,3,4,Private,Great Plains,Fringe Town,0.869,24,1086,1759,37485,5758,21353,26.76000023,71428.09,60418,61,50600,45500
Baldwin Wallace University,3,4,Private,Great Lakes,Large Suburb,0.6396,24,1096,3331,37504,7418,24000,21.38999939,79087.32,74030,69,43700,39900
Ball State University,3,4,Public,Great Lakes,Small City,0.6054,22,1053,15985,21101,7305,18686,20.55999947,78230.63,73544,388,37800,35800
Baptist Memorial College of Health Sciences,3,3,Private,Southeast,Large City,0.463,25,1125,1101,19745,6442,21000,25.35000038,54231.6,41376,34,50700,50100
Bard College,3,4,Private,Mid-Atlantic,Fringe Town,0.3761,0,0,1957,60280,10804,20476,19.72999954,104078.1,86752.5,56,34000,29400
Barnard College,3,3,Private,Mid-Atlantic,Large City,0.2053,30,1340,2486,59581,11888,16000,19.23999977,105139.12,77701,29,55100,46900
Barry University,3,4,Private,Southeast,Large Suburb,0.4678,19,930,4284,41019,7696,21500,27.72999954,53233.76,37767.5,277,46200,42200
Barton College,3,4,Private,Southeast,Fringe Town,0.4177,20,939,1043,37437,5838,21500,24.12999916,59406.39,43763.5,45,35500,33800
Bates College,3,3,Private,New England,Small City,0.2417,0,0,1791,59285,10374,16425,19.54999924,118325.02,106531,16,57900,47600
Bay Path College,3,4,Private,New England,Large Suburb,0.576,20,964,1454,40447,7754,18065,27.28000069,57186.55,45278,64,39800,37500
Bayamon Central University,3,4,Private,Outlying Areas,Large Suburb,0.7368,0,0,1654,11573,2630,5500,23.46999931,16277.49,12591,466,18600,17400
Baylor University,3,4,Private,Southwest,Mid-size City,0.5747,27,1215,13221,51086,8793,21000,19.79999924,93014.48,72163,200,47700,43700
Becker College,3,3,Private,New England,Mid-size City,0.6255,22,1006,1871,44041,7308,15750,24.10000038,65321.14,54112,46,40800,36300
Belhaven University,3,4,Private,Southeast,Mid-size City,0.4842,22,1033,2487,33375,4327,19500,29.38999939,50301.32,36084,93,36900,33100
Bellarmine University,3,4,Private,Southeast,Large City,0.9478,25,1116,2508,47609,7580,19500,22.22999954,79655.05,68519,44,45800,42700
Belmont Abbey College,3,3,Private,Southeast,Mid-size Suburb,0.6759,21,977,1634,39328,4524,18500,25.79000092,71640.74,55427,32,36300,33300
Belmont University,3,4,Private,Southeast,Large City,0.7987,27,1193,5465,41450,8450,19173,21.15999985,98697.97,83588,84,42100,37600
Beloit College,3,3,Private,Great Lakes,Small City,0.6769,27,1227,1244,48236,7161,23231.5,19.71999931,99694.61,90105,37,38800,33300
Bemidji State University,3,4,Public,Great Plains,Remote Town,0.6678,21,990,4397,18166,7669,13500,23.07999992,63423.26,53717,131,37600,35100
Benedictine College,3,4,Private,Great Plains,Distant Town,0.6057,25,1145,1750,36805,6165,19500,20.07999992,89380.43,79145.5,48,36600,35000
Benedictine University,3,4,Private,Great Lakes,Large Suburb,0.695,22,1030,3739,35481,7686,17188,24.95000076,65286.83,53068,80,46900,43400
Bentley University,3,4,Private,New England,Small City,0.4379,28,1234,4172,54806,12158,26000,19.65999985,105823.11,93494,66,71600,69000
Berea College,3,3,Private,Southeast,Distant Town,0.3401,24,1113,1587,30396,7357,5496.5,20.04999924,30776.75,29786.5,55,31200,29700
Berklee College of Music,3,3,Private,New England,Large City,0.3617,0,0,4402,56335,9480,21046,20.79000092,94505.71,79421,182,31400,26200
Berry College,3,4,Private,Southeast,Small Suburb,0.6032,27,1186,2122,40965,7060,15750,19.71999931,84014.55,71090,46,36800,34600
Bethel College-Indiana,3,4,Private,Great Lakes,Small City,0.7158,24,1047,1579,33617,5506,18275,25.73999977,62249.48,54043,77,36400,33200
Bethel University,3,4,Private,Great Plains,Large Suburb,0.9485,25,1144,3178,42692,7577,20500,22.48999977,96452.1,82520,77,45700,41100
Bethel University,3,4,Private,Southeast,Distant Town,0.5103,20,930,5063,26864,3935,14531,29.09000015,46908.56,37640.5,87,39300,35200
