Id,Start,End,StartingSeconds,EndingSeconds,Paradigm,Operation,Vis Type,Important Quotes form the Interview,,,,,,,
P1,0:00:00,1:14:00,0,74,None,None,Bar,,,,,,,,
P1,1:15,1:26,75,85,MVS,O1,Bar,,,,,,,,
P1,1:27,1:41,86,99,None,None,Bar,,,,,,,,
P1,1:42,2:04,100,121,MVS,O4,Bar,,,,,,,,
P1,2:05,2:50,122,166,None,None,Bar,,,,,,,,
P1,2:51,2:54,167,169,MVS,O3,Scatter,,,,,,,,
P1,2:55,3:09,170,183,None,None,Scatter,,,,,,,,
P1,3:10,3:15,184,188,MVS,O4,Scatter,,,,,,,,
P1,3:16,3:32,189,204,None,None,Scatter,,,,,,,,
P1,3:32,3:58,205,230,VbD,O2,Scatter,,,,,,,,
P1,3:59,4:29,231,260,None,None,Scatter,,,,,,,,
P1,4:30,5:00,261,290,VbD,O2,Scatter,,,,,,,,
P1,5:01,5:40,291,329,None,None,Scatter,,,,,,,,
P1,5:41,6:04,330,352,VbD,O2,Scatter,,,,,,,,
P1,6:05,6:51,353,398,None,None,Scatter,,,,,,,,
P1,6:52,7:09,399,415,VbD,O2,Scatter,,,,,,,,
P1,7:10,7:44,416,449,None,None,Scatter,,,,,,,,
P1,7:45,7:50,450,454,MVS,O1,Scatter,,,,,,,,
P1,7:51,8:08,455,471,None,None,Scatter,,,,,,,,
P1,8:09,8:11,472,473,MVS,O1,Scatter,,,,,,,,
P1,8:12,8:47,474,508,None,None,Scatter,,,,,,,,
P1,8:48,8:52,509,512,MVS,O3,Bar,,,,,,,,
P1,8:53,8:59,513,518,None,None,Bar,,,,,,,,
P1,9:00,9:30,519,548,VbD,O5,Bar,,,,,,,,
P1,9:31,10:19,549,596,None,None,Bar,,,,,,,,
P1,10:20,10:23,597,599,MVS,O1,Bar,,,,,,,,
P1,10:24,10:34,600,609,None,None,Bar,,,,,,,,
P1,10:35,10:38,610,612,MVS,O3,Scatter,,,,,,,,
P1,10:39,11:42,613,675,None,None,Scatter,,,,,,,,
P1,11:43,11:45,676,677,MVS,O1,Scatter,,,,,,,,
P1,11:46,13:19,678,770,None,None,Scatter,,,,,,,,
P1,13:20,13:38,771,788,MVS,O4,Scatter,,,,,,,,
P1,13:39,13:47,789,796,None,None,Scatter,,,,,,,,
P1,13:48,14:24,797,832,MVS,O4,Scatter,,,,,,,,
P2,0:00,0:09,0,9,None,None,Bar,,,,,,,,
P2,0:10,0:16,10,15,MVS,O1,Bar,"Major roadblocks: ""So the one that I mentioned is filtering [by demo]. When I am selecting a set I want to see that set. That is something that would semantically, like my mental mapping was different from what the system was trying to do.""                                                                             General Experience: ""So I definitely like. I definitely definitely like the filtering by demonstration. being able to highlight parts and drag them out was I thin very intuitive. Say if it was the touch screen that was exactly what I would have done. It was natural for me to do filtering by demonstration. As I said in the previous question it was just expecting when I am selecting a set of points the system keep them rather than excluding. ""     ""But, in some of them for some reason I felt that. so when I wanted to apply say color and color was something which was because I think it was when I wanted to assign color to directors, doing the interaction by demonstration I did not get a recommendation that I wanted for that. So I then said lets do it using another interaction technique. For filtering I definitely felt it feels more natural to do it this way [by demonstration]. Overall, I would prefer doing things by demonstration if it makes sense to do it in the same way in the real word. Now that I think even coloring [by demonstration] is somewhat natural. say I want to highlight something, I pick them and color them, but it [coloring by demonstration] depends on how much data we are dealing. With a small dataset I would probbaly prefer doing the coloring by demonstration but with the larger dataset, I would probably would say no lets do drag and drop. Dragging variables and dropping them here [Encoding Panel] was very consistent. You do drag and drop to change color, size, axes."" Both interaction: `` I used two techniques for filtering. Because the demonstration filtering is intuitive but not very precise. So, for precision I fine tuned it using slider.''                                                                                                                                          ",,,,,,,
P2,0:17,0:32,16,30,None,None,Bar,,,,,,,,
P2,0:33,1:19,31,76,VbD,O4,Bar,,,,,,,,
P2,1:20,1:42,77,98,None,None,Bar,,,,,,,,
P2,1:43,1:46,99,101,MVS,O3,Scatter,,,,,,,,
P2,1:47,1:54,102,108,None,None,Scatter,,,,,,,,
P2,1:55,2:14,109,127,VbD,O4,Scatter,,,,,,,,
P2,2:15,2:16,128,128,None,None,Scatter,,,,,,,,
P2,2:17,2:25,129,136,MVS,O4,Scatter,,,,,,,,
P2,2:26,2:35,137,145,None,None,Scatter,,,,,,,,
P2,2:36,2:45,146,154,MVS,O2,Scatter,,,,,,,,
P2,2:46,2:51,155,159,None,None,Scatter,,,,,,,,
P2,2:52,2:55,160,162,MVS,O2,Scatter,,,,,,,,
P2,2:56,3:09,163,175,None,None,Scatter,,,,,,,,
P2,3:10,3:23,176,188,VbD,O4,Scatter,,,,,,,,
P2,3:24,3:39,189,203,None,None,Scatter,,,,,,,,
P2,3:40,5:00,204,283,MVS,O4,Scatter,,,,,,,,
P2,5:01,6:08,284,350,None,None,Scatter,,,,,,,,
P2,6:09,6:11,351,352,MVS,O2,Scatter,,,,,,,,
P2,6:12,6:19,353,359,None,None,Scatter,,,,,,,,
P2,6:20,6:23,360,362,MVS,O1,Scatter,,,,,,,,
P2,6:24,6:39,363,377,None,None,Scatter,,,,,,,,
P2,6:40,6:50,378,387,VbD,O4,Scatter,,,,,,,,
P2,6:51,7:05,388,401,None,None,Scatter,,,,,,,,
P2,7:06,7:13,402,408,VbD,O4,Scatter,,,,,,,,
P2,7:14,8:09,409,463,None,None,Scatter,,,,,,,,
P2,8:10,8:44,464,497,MVS,O1,Scatter,,,,,,,,
P2,8:45,9:07,498,519,None,None,Scatter,,,,,,,,
P2,9:08,9:18,520,529,VbD,O2,Scatter,,,,,,,,
P2,9:19,9:26,530,536,None,None,Scatter,,,,,,,,
P2,9:27,9:30,537,539,MVS,O3,Bar,,,,,,,,
P2,9:31,9:34,540,542,None,None,Bar,,,,,,,,
P2,9:35,9:38,543,545,MVS,O1,Bar,,,,,,,,
P2,9:39,10:35,546,601,None,None,Bar,,,,,,,,
P2,10:36,10:45,602,610,VbD,O4,Bar,,,,,,,,
P2,10:46,12:02,611,686,None,None,Bar,,,,,,,,
P3,0:00,1:42,0,102,None,None,Scatter,,,,,,,,
